seller,seller return rate,seller rating,Number of units sold,Number of Units Returned,brand,product type,listing price
8869,1,0.6,1,1,moussy vintage,shorts,172
9883,1,0.77,1,1,m.m.lafleur,clothing,158
10844,1,0.18,1,1,mackage,outerwear,763
10920,1,0.14,1,1,off-white,knit,259
3110,1,0.25,1,1,rag & bone,pants,158
456,1,0.1,1,1,nambe,dropship serveware,18
467,1,0.01,1,1,derek lam 10 crosby,jacket,455
472,1,0.26,1,1,good american,jumpsuit,97
12139,1,0.6,1,1,mackenzie-childs,easter (seasonal-decoratives),39
897,1,0.25,3,3,stoney clover lane,hair accessories/headbands,17
9820,1,0.16,2,2,lafayette 148 new york,knit,419
10050,1,0.04,2,2,derek lam 10 crosby,dresses,347
794,1,0.07,1,1,shhhowercap,shhhowercap,30
10834,1,0.33,1,1,shhhowercap,shhhowercap,30
9857,1,0.44,1,1,chiara boni la petite robe,cocktail dress,487
11742,1,0.31,1,1,lilly pulitzer kids,dress,41
13807,1,0.71,1,1,dl1961 premium denim,girl bottoms,32
12382,1,0.09,2,2,johnny was,short coverup (swimwear),167
13701,1,0.41,1,1,ted baker,dresses,277
2849,1,0.2,2,2,amsale,cocktail dress,270
4605,1,0.1,2,2,manolo blahnik,mules,627
2745,1,0.09,1,1,chloe,sneakers,347
6108,1,0.1,1,1,re/done,t-shirt,63
12744,1,0.31,1,1,lilly pulitzer,tops (rtw),55
12715,1,0.1,3,3,badgley mischka,cocktail dress,277
5228,1,0.15,3,3,eileen fisher,jacket,104
7122,1,0.23,2,2,reiss,shorts,285
12557,1,0.71,1,1,farm rio,dresses,240
1007,1,0.18,1,1,skims,brief,185
2747,1,0.15,1,1,bottega veneta,fashion leather (handbags),123
4858,1,0.22,1,1,black halo,cocktail dress,183
4888,1,0.02,1,1,disney x pippa & julie,girl dress,289
12820,1,0.14,2,2,saint laurent,espadrilles,272
8033,1,0.66,1,1,oscar de la renta,gown,233
9989,1,0.71,1,1,amur,t-shirt,282
10024,1,0.25,3,3,falke,design hosiery,295
2491,1,0.25,1,1,reiss,dresses,113
4437,1,0.29,1,1,reiss,dresses,237
6120,1,0.16,1,1,helmut lang,t-shirt,285
495,1,0.26,1,1,jimmy choo,slides,218
2998,1,0.1,1,1,saks fifth avenue,knit,149
9826,1,0.28,1,1,tory burch,other (handbags),125
6614,1,0.13,1,1,sabina musayev,dresses,154
7012,1,0.26,1,1,ml monique lhuillier,gown,284
13755,1,0.77,1,1,co,knits,216
846,1,0.16,4,4,cle de peau beaute,treatment (cosmetics),107
4351,1,0.16,1,1,molton brown,molton brown (scentiments),22
8223,1,0.08,1,1,versace,designer foundations,67
13771,1,0.62,1,1,golden goose,sneakers (footwear),396
8314,1,0.77,1,1,cinq a sept,blouse,207
350,1,0.24,2,2,veja,sneakers (footwear),426
2923,1,0.25,2,2,n:philanthropy,dresses,566
11808,1,0.29,2,2,ugg,slippers (footwear),131
10384,1,0.22,1,1,canada goose,canada goose (rtw),623
6809,1,0.13,2,2,vix by paula hermanny,bathing suit top,112
8425,1,0.16,2,2,vix by paula hermanny,bathing suit top,297
178,1,0.11,1,1,prada,sandals  (footwear),642
8682,1,0.19,3,3,jo malone london,jo home (fragrances),549
6012,1,0.14,2,2,rag & bone,shorts,587
6275,1,0.13,1,1,vella bioscience,vella wellness,388
7872,1,0.8,1,1,vella bioscience,vella wellness,423
2758,1,0.14,1,1,agolde,straight,659
12201,1,0.15,1,1,saks fifth avenue,overcoats,730
1241,1,0.3,4,4,mother,crop,275
6236,1,0.02,2,2,susana monaco,pants,724
436,1,0.26,1,1,frame,wovens,731
10459,1,0.19,1,1,iscream,other toys,256
6356,1,0.02,1,1,goldbergh,outerwear,32
2151,1,0.06,1,1,lilly pulitzer kids,dress,254
13013,1,0.21,2,2,lsa,dropship barware,371
73,1,0.3,1,1,greyson,greyson (rtw),268
1193,1,0.01,6,6,vintage havana,neutral rtw,770
2170,1,0.22,1,1,zimmermann,dresses,845
3043,1,0.28,1,1,zimmermann,shorts,869
6922,1,0.16,1,1,zimmermann,shorts,239
12998,1,0.62,1,1,zimmermann,shorts,236
13684,1,0.79,1,1,zimmermann,shorts,653
13867,1,0.02,1,1,misook,knit,325
6411,1,0.03,7,7,kobi halperin,dresses,321
10288,1,0.24,3,3,mll x splendid,blouse,104
8523,1,0.05,2,2,tory burch,skirt,244
334,1,0.02,1,1,sea,dresses,242
6758,1,0.24,3,3,rebecca vallance,cocktail dress,413
11931,1,0.22,2,2,rebecca vallance,cocktail dress,413
12602,1,0.04,2,2,kissy kissy,boy 2pc/3pc set (rtw),29
4823,1,0.21,1,1,y-3,y3 belts,126
6528,1,0.14,1,1,saint laurent,saint laurent (sunglasses),284
6905,1,0.42,1,1,monot,gown,977
8241,1,0.76,1,1,zimmermann,skirt,697
10202,1,0.68,1,1,alice + olivia,jumpsuit,231
2542,1,0.1,2,2,120% lino,dresses,417
3186,1,0.07,2,2,see by chloe,flat sandals,228
6863,1,0.37,1,1,haight.,1 pc bathing suit,174
12577,1,0.25,2,2,alice + olivia,blouse,370
12990,1,0.1,2,2,alice + olivia,dresses,464
2075,1,0.01,3,3,loeffler randall,loeffler randall (handbags),354
2958,1,0.28,2,2,zimmermann,dresses,314
4790,1,0.2,1,1,ganni,booties,481
3012,1,0.19,2,2,mac duggal,cocktail dress,139
12158,1,0.04,2,2,habitual kids,girl dress,41
5973,1,0.04,1,1,saks fifth avenue,lightweight cashmere,230
6866,1,0.06,1,1,dolce&gabbana,high heel sandals,557
1042,1,0.11,1,1,valentino garavani,slides,623
8368,1,0.51,1,1,brunello cucinelli,slides,697
6464,1,0.16,1,1,gilda and pearl,gilda and pearl (sleepwear),224
3004,1,0.02,1,1,co,pants,1047
3279,1,0.05,1,1,david donahue,wovens,109
6247,1,0.18,1,1,eileen fisher,knit,69
9951,1,0.2,1,1,shani,cocktail dress,269
10799,1,0.35,1,1,poupette st barth,dresses,231
4464,1,0.14,3,3,blanc noir,jacket,125
811,1,0.2,1,1,comme des garcons play,sneakers (footwear),105
4000,1,0.08,3,3,ferragamo,ferragamo (scarves),252
8536,1,0.61,1,1,fortessa,dropship barware,25
8043,1,0.08,4,4,skims,tank,25
2057,1,0.14,2,2,versace,designer foundations,417
8055,1,0.2,1,1,versace,designer foundations,417
8914,1,0.23,1,1,dolce&gabbana,dolce sunglasses,232
10258,1,0.08,1,1,dolce&gabbana,dolce sunglasses,232
12914,1,0.67,1,1,dolce&gabbana,dolce sunglasses,232
2526,1,0.02,1,1,alice + olivia,knits,207
2078,1,0.08,3,3,versace jeans couture,knits,228
6018,1,0.28,2,2,versace jeans couture,knits,228
8670,1,0.36,1,1,aquazzura,high heel sandals,508
10534,1,0.65,1,1,7 for all mankind,skinny,139
10820,1,0.7,1,1,chanel,chanel lips,32
12911,1,0.23,4,4,off-white,sweatshirt,536
10130,1,0.08,2,2,lacoste,lacoste solid s/s shirts,46
10253,1,0.08,2,2,robert piguet,fracas,91
4332,1,0.04,1,1,robert piguet,fracas,84
12267,1,0.28,2,2,larroude,slides,133
2606,1,0.18,1,1,michael michael kors,flat sandals,62
6622,1,0.46,1,1,blanc noir,jumpsuit,90
6638,1,0.52,1,1,ray-ban,ray ban sunglasses,125
2930,1,0.24,1,1,chiara boni la petite robe,cocktail dress,487
13817,1,0.38,1,1,zegna,zegna dressshirts,452
339,1,0.15,1,1,3.1 phillip lim,dresses,455
2056,1,0.09,1,1,longchamp,longchamp handbags,98
11806,1,0.28,1,1,vineyard vines,boy tops,35
8709,1,0.18,3,3,caroline constas,dresses,294
4612,1,0.06,1,1,beach riot,swimwear,55
6586,1,0.77,1,1,theory,pants,242
12422,1,0.65,1,1,alice + olivia,blouse,137
4404,1,0.12,1,1,veronica beard,vest,160
7980,1,0.27,2,2,frame,flare,181
1097,1,0.23,1,1,shoshanna,gown,445
423,1,0.05,1,1,milly,dresses,315
616,1,0.1,1,1,manolo blahnik,high heel sandals,697
3263,1,0.23,3,3,staud,dresses,263
2410,1,0.15,1,1,lanvin,knit,483
10141,1,0.45,1,1,marc jacobs,marc by marc jacobs totes,277
985,1,0.05,1,1,aidan mattox,gown,207
2915,1,0.17,1,1,saint laurent,sneakers,333
2394,1,0.05,1,1,misa los angeles,dresses,256
10549,1,0.48,1,1,jimmy choo,fashion leather (handbags),767
6282,1,0.09,1,1,a.l.c.,dresses,167
6100,1,0.17,2,2,burberry,burberry handbags,1533
13781,1,0.14,3,3,farm rio,pants,267
2241,1,0.26,2,2,farm rio,pants,293
7895,1,0.13,2,2,nanushka,knit,299
3081,1,0.28,1,1,theory,pants,260
10240,1,0.43,1,1,bark,pet toys,235
8781,1,0.23,1,1,canali,canali knits,226
10150,1,0.05,2,2,cinq a sept,t-shirt,291
3257,1,0.03,1,1,christian louboutin,pumps,287
12354,1,0.09,1,1,farm rio,dresses,214
258,1,0.26,1,1,significant other,cocktail dress,209
885,1,0.04,1,1,polo ralph lauren,denim (rtw),287
4051,1,0.17,1,1,alice + olivia,jacket,226
13826,1,0.44,1,1,ag jeans,denim,200
12694,1,0,2,2,maygel coronel,bikini set,205
6200,1,0.14,1,1,sophia webster,high heel sandals,235
6150,1,0.23,1,1,stuart weitzman,drivers,417
5176,1,0.29,2,2,nic+zoe,dresses,153
5177,1,0.05,2,2,skinny dippers,1 pc bathing suit,84
310,1,0.25,2,2,rebecca minkoff,rebecca minkoff handbags,195
6101,1,0.23,1,1,birkenstock,flat sandals,95
8737,1,0.72,1,1,iro,knit,263
3229,1,0.1,1,1,alexander mcqueen,alexander mcqueen scarves,1183
6002,1,0.25,1,1,common projects,sneakers,326
3275,1,0.24,2,2,alice + olivia,dresses,207
295,1,0.21,1,1,trina turk,cocktail dress,265
593,1,0.11,1,1,trina turk,cocktail dress,265
6879,1,0.27,1,1,rosenthal,dropship tabletop,20
10300,1,0.24,1,1,shoshanna,cocktail dress,349
10404,1,0.57,1,1,aje,dresses,298
12237,1,0.71,1,1,aje,dresses,298
12740,1,0.27,1,1,mac duggal,cocktail dress,251
13849,1,0.13,1,1,mac duggal,cocktail dress,251
3276,1,0.02,2,2,sam.,outerwear,368
6590,1,0.08,1,1,ksubi,jacket,168
2290,1,0.24,4,4,balmain,dresses,1817
2328,1,0.06,4,4,bottega veneta,fashion leather (handbags),1855
6692,1,0.2,3,3,vilebrequin,vilebrequin (beachwear),182
10037,1,0.54,1,1,hunza g,bikini set,158
358,1,0.26,2,2,khaite,outerwear,1316
2169,1,0.23,3,3,derek lam 10 crosby,pants,217
6454,1,0.07,2,2,nambe,dropship serveware,90
633,1,0.23,1,1,mother,flare,181
2377,1,0.06,1,1,mother,flare,181
6076,1,0.11,1,1,jimmy choo,wedges,417
12770,1,0.27,3,3,mc2 saint barth,mc2 st barth swim,42
12039,1,0.09,2,2,gucci,slides,266
10009,1,0.18,1,1,chiara boni la petite robe,gown,487
6777,1,0.15,6,6,poupette st barth,dresses,273
4503,1,0.06,1,1,alo yoga,alo yoga apparel,69
10713,1,0.75,1,1,mcm,mcm (leather goods),553
12408,1,0.16,2,2,teri jon by rickie freeman,gown,630
10383,1,0.18,1,1,moncler,outerwear,1397
3096,1,0.13,1,1,teri jon by rickie freeman,cocktail dress,525
10577,1,0.21,2,2,sachin & babi,cocktail dress,333
2329,1,0.27,2,2,anaya,decorative home,84
4737,1,0.27,1,1,bottega veneta,fashion leather (handbags),2870
2416,1,0.05,1,1,chloe,chloe shoulder (handbags),322
12901,1,0.76,1,1,posh peanut,girl swimwear,32
6843,1,0.25,1,1,barbour,outerwear,196
4955,1,0.28,2,2,sam.,outerwear,277
4282,1,0.16,1,1,sam.,outerwear,277
8685,1,0.11,6,6,zimmermann,bikini set,175
12329,1,0.21,3,3,alo yoga,jumpsuit,57
692,1,0.27,2,2,saks fifth avenue,sfamc leather belts,90
1173,1,0.16,2,2,saks fifth avenue,sfamc leather belts,104
4307,1,0.08,2,2,coach,espadrilles,95
140,1,0.01,1,1,coach,espadrilles,95
299,1,0.06,1,1,isabel marant,tall shaft boots,865
2409,1,0.06,1,1,christian louboutin,high heel sandals,1187
4690,1,0.13,1,1,simkhai,blouse,207
6139,1,0.17,1,1,simkhai,blouse,207
10099,1,0.34,1,1,andrea iyamah,cover up bottoms,189
12665,1,0.67,1,1,likely,cocktail dress,160
4145,1,0.1,1,1,mach & mach,cocktail dress,1008
5060,1,0.03,3,3,rails,dresses,167
514,1,0.16,1,1,shoshanna,1 pc bathing suit,175
147,1,0.23,1,1,bronx and banco,gown,490
888,1,0.24,1,1,teri jon by rickie freeman,gown,553
895,1,0,1,1,xirena,dresses,229
12899,1,0.01,1,1,jimmy choo,espadrilles,347
10735,1,0.11,1,1,johnny was,dresses,279
2358,1,0.25,1,1,mother,straight,100
10049,1,0.29,1,1,raquel allegra,dresses,88
13830,1,0.67,1,1,burberry,lightweight scarves,85
4656,1,0.1,1,1,isabel marant,booties,69
8569,1,0.01,1,1,christian louboutin,dress slipon leather sole,97
9024,1,0.12,3,3,alice + olivia,knits,68
4244,1,0.24,1,1,tommy bahama,tommy bahama mens,86
6845,1,0.34,1,1,ugg,weather boots,92
12038,1,0.24,3,3,d o e n,dresses,88
6310,1,0.24,1,1,alice + olivia,dresses,76
6702,1,0.56,1,1,schutz,booties,74
13871,1,0.15,2,2,juicy couture,pants,77
672,1,0.15,1,1,byredo,black saffron fragrance,86
8030,1,0.32,1,1,bailey 44,blouse,69
27,1,0.24,1,1,loeffler randall,loeffler randall hair accessor,66
10368,1,0.23,1,1,shoshanna,cocktail dress,67
10124,1,0.52,1,1,alice + olivia,skirt,72
1062,1,0.06,1,1,coach,flat sandals,81
4150,1,0.05,1,1,english factory,dresses,62
10376,1,0.36,1,1,english factory,dresses,62
11844,1,0.41,1,1,bcbgmaxazria,gown,92
12837,1,0.34,1,1,mother,crop,76
724,1,0.13,3,3,polo ralph lauren,dresses,88
2445,1,0.13,1,1,rag & bone,high heel sandals,96
12916,1,0.13,1,1,wayf,tops,87
135,1,0.09,2,2,nsf,pants,81
13772,1,0.27,2,2,cole haan,sneakers,69
4780,1,0.28,1,1,veronica beard,high heel sandals,89
4136,1,0.17,1,1,l'agence,skinny,186
9983,1,0.68,1,1,comme des garcons play,sneakers (footwear),105
6417,1,0.11,2,2,gianvito rossi,pumps,557
6049,1,0.28,1,1,a.l.c.,dresses,487
513,1,0.26,1,1,elie tahari,pants,228
582,1,0.16,1,1,farm rio,skirt,119
179,1,0.22,1,1,jimmy choo,pumps,543
7974,1,0.43,1,1,kobi halperin,dresses,419
10607,1,0.35,1,1,ag jeans,jacket,172
10618,1,0.54,1,1,ag jeans,jacket,172
562,1,0.15,1,1,camilla,hair accessories/headbands,62
6223,1,0.21,1,1,rag & bone,sneakers,207
7019,1,0.42,1,1,manebi,flat sandals,109
6552,1,0.6,1,1,generation love,jacket,270
13779,1,0.34,1,1,diesel,sneakers (footwear),123
2271,1,0.07,3,3,a.p.c.,sweatshirt,140
2357,1,0.06,3,3,johanna ortiz,skirt,455
7186,1,0.03,2,2,cinq a sept,dresses,270
3188,1,0.2,1,1,valentino garavani,high heel sandals,735
8521,1,0.04,1,1,kissy kissy,boy pajamas,30
8589,1,0.38,1,1,maison francis kurkdjian,mfk pmatin and gsoir fragrance,165
12439,1,0.6,1,1,maison francis kurkdjian,mfk pmatin and gsoir fragrance,165
12536,1,0.78,1,1,vilhelm parfumerie,vilhelm fragrance,25
12541,1,0.58,1,1,vilhelm parfumerie,vilhelm fragrance,25
10195,1,0.45,1,1,ray-ban,ray ban sunglasses,140
13726,1,0.6,1,1,bottega veneta,fashion leather (handbags),1365
12480,1,0.14,4,4,new balance,boys shoes,35
525,1,0.14,3,3,poupette st barth,dresses,273
1984,1,0.18,1,1,isabel marant etoile,dresses,322
13868,1,0.31,1,1,isabel marant etoile,dresses,322
1165,1,0.25,1,1,akris punto,pants,347
8129,1,0.51,1,1,aidan mattox,cocktail dress,245
10263,1,0.49,1,1,polo ralph lauren,dresses,174
10664,1,0.53,1,1,rag & bone,tank,67
13862,1,0.04,1,1,bao bao issey miyake,bao bao (handbags),417
6942,1,0.17,2,2,rag & bone,skinny,165
7203,1,0.13,1,1,farm rio,dresses,179
7984,1,0.26,1,1,farm rio,dresses,179
12574,1,0.74,1,1,frame,crop,129
9914,1,0.36,1,1,submarine,swimwear,62
10071,1,0.55,1,1,corkcicle,dropship kitchenware,30
12323,1,0.05,1,1,chiara boni la petite robe,jacket,525
12328,1,0.29,1,1,chiara boni la petite robe,jacket,525
1175,1,0.18,1,1,barbour,knit,105
1122,1,0.03,1,1,rococo sand,dresses,315
2894,1,0.09,1,1,givenchy,givenchy handbags,1743
10671,1,0.25,2,2,cinq a sept,dresses,256
10757,1,0.27,2,2,balmain,pants,805
2941,1,0.19,4,4,montblanc,montblanc small leather goods,175
9046,1,0.47,1,1,black halo,cocktail dress,116
13011,1,0.1,2,2,undra celeste,tops,172
10938,1,0.53,1,1,johnny was,blouse,179
11958,1,0.04,1,1,saint laurent,ysl mp handbags wallets,228
12580,1,0.04,2,2,carolina herrera,gown,4893
3244,1,0.07,1,1,picnic time,decorative home,38
2326,1,0.14,1,1,atm anthony thomas melillo,blouse,277
6327,1,0.08,1,1,kobi halperin,tops,279
11798,1,0.35,1,1,moschino,swimwear,88
12053,1,0.22,1,1,farm rio,skirt,91
9844,1,0.75,1,1,helmut lang,vest,266
12137,1,0.03,1,1,johnnie o,johnnie o menswear,83
4435,1,0.25,1,1,simon miller,simon miller handbags,364
2144,1,0.01,1,1,zegna,suits,2765
8167,1,0.05,1,1,weworewhat,long coverup (swimwear),104
815,1,0.03,1,1,bric's,brics luggage,25
826,1,0.09,1,1,coach,booties,228
6431,1,0.12,1,1,alexandre birman,high heel sandals,438
10282,1,0.3,1,1,alice + olivia,skirt,207
9799,1,0.24,3,3,veronica beard,skirt,279
12143,1,0.29,1,1,gucci,sneakers (footwear),207
10048,1,0.21,6,6,aesop,body (cosmetics),23
8838,1,0.21,2,2,definery,flat sandals,158
4230,1,0.21,1,1,teri jon by rickie freeman,gown,392
6323,1,0.03,1,1,robert graham,robert graham mens,118
12839,1,0.24,1,1,sea,dresses,315
2471,1,0.29,1,1,gucci,high heel sandals,417
8978,1,0.14,1,1,alexandre birman,high heel sandals,487
9953,1,0.69,1,1,brunello cucinelli,cucinelli  mp mc sweaters,805
6244,1,0.17,2,2,staud,dresses,315
4365,1,0.03,1,1,valentino garavani,vltn mp ms slides,434
4397,1,0.2,1,1,saks fifth avenue,knit,186
10790,1,0.19,3,3,schutz,tall shaft boots,167
5931,1,0.12,2,2,frame,skinny,153
9964,1,0.1,2,2,l'objet,dropship serveware,945
12097,1,0.13,2,2,mother,skinny,153
7128,1,0.48,1,1,elie tahari,dresses,347
9975,1,0.15,1,1,tory burch,drivers,209
12598,1,0.42,1,1,zac posen,gown,525
1019,1,0.1,1,1,purple brand,swim,126
380,1,0.16,1,1,versace,high heel sandals,788
403,1,0.14,1,1,commando,commando/herlook (intimates),83
420,1,0.03,1,1,johnny was,1 pc bathing suit,153
13853,1,0.29,1,1,saint laurent,ysl small leather goods,945
100,1,0.26,2,2,gucci,sandals  (footwear),266
10270,1,0.14,2,2,veronica beard,flare,209
835,1,0.19,1,1,rag & bone,knits,105
1292,1,0.21,1,1,electric & rose,knits,118
6095,1,0.13,1,1,staud,dresses,263
6440,1,0.08,1,1,staud,dresses,263
11755,1,0.49,1,1,joe's jeans,bottoms,31
3123,1,0.16,2,2,black halo,gown,403
7197,1,0.65,1,1,ag jeans,denim,151
682,1,0.08,1,1,valentino garavani,slides,137
7011,1,0.33,1,1,generation love,skirt,165
8395,1,0.44,1,1,alice + olivia,jacket,627
7903,1,0.29,2,2,mac duggal,gown,559
1275,1,0.22,1,1,mac duggal,gown,559
2490,1,0.29,1,1,mac duggal,cocktail dress,349
3226,1,0.12,1,1,mac duggal,cocktail dress,349
6021,1,0.28,1,1,suboo,1 pc bathing suit,140
10773,1,0.79,1,1,halston,cocktail dress,312
3160,1,0.19,1,1,sachin & babi,gown,767
5125,1,0.3,2,2,ramy brook,jumpsuit,396
1240,1,0.18,2,2,black halo,gown,368
4493,1,0,1,1,black halo,gown,368
6738,1,0.56,1,1,staud,pants,245
6690,1,0.23,1,1,elie tahari,dresses,315
6340,1,0.21,1,1,the row,the row handbags,1393
2540,1,0.03,1,1,boss,jacket,382
2875,1,0.29,1,1,alice + olivia,dresses,385
3059,1,0.03,1,1,polo ralph lauren,bsr knits,32
7047,1,0.65,1,1,gucci,slides,252
7913,1,0.67,1,1,gucci,slides,252
9961,1,0.29,1,1,gucci,slides,315
1274,1,0.14,2,2,vince,mules,230
12603,1,0.11,1,1,fabiana filippi,knit,282
2944,1,0.14,8,8,bardot,cocktail dress,214
13793,1,0.11,2,2,gianvito rossi,high heel sandals,231
922,1,0.18,1,1,alexia maria,cocktail dress,223
12376,1,0.58,1,1,alexia maria,cocktail dress,235
8512,1,0.16,1,1,chufy,blouse,279
2617,1,0.16,2,2,tkees,flat sandals,53
8158,1,0.75,1,1,mcm,mcm sunglasses,195
9029,1,0.23,1,1,simon miller,dresses,137
9050,1,0.04,1,1,frame,blouse,279
4203,1,0.07,1,1,ugg,slippers,91
12351,1,0.7,1,1,ugg,slippers,91
3041,1,0.23,2,2,ralph lauren,girl tops,12
11073,1,0.78,1,1,skims,t-shirt,34
11906,1,0.73,1,1,skims,t-shirt,34
13816,1,0.26,1,1,ippolita,earrings,487
2087,1,0.03,1,1,tory burch,drivers,195
3154,1,0.14,1,1,canada goose,canada goose (outerwear),665
6875,1,0.17,1,1,barbour,barbour (sportswear),67
12742,1,0.79,1,1,kobi halperin,pants,279
2554,1,0.12,4,4,van cleef & arpels,van cleef arpel fragrance,161
716,1,0.09,3,3,roja parfums,roja (fragrance),39
6428,1,0.78,1,1,givenchy,sneakers (footwear),347
12309,1,0.3,1,1,alice + olivia,tank,245
